[2026-01-29 23:27:25,085] 15 root - INFO - Initiate data ingestion
[2026-01-29 23:27:27,024] 65 root - INFO - Performed train test split on the dataframe
[2026-01-29 23:27:27,024] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2026-01-29 23:27:27,024] 75 root - INFO - Exporting train and test file path.
[2026-01-29 23:27:27,071] 84 root - INFO - Exported train and test file path.
[2026-01-29 23:27:27,071] 17 root - INFO - Data ingestion completed
[2026-01-29 23:27:27,110] 20 root - INFO - Initiate data validation
[2026-01-29 23:27:27,216] 34 root - INFO - Required number of columns:31
[2026-01-29 23:27:27,216] 35 root - INFO - Data frame has columns:31
[2026-01-29 23:27:27,216] 34 root - INFO - Required number of columns:31
[2026-01-29 23:27:27,216] 35 root - INFO - Data frame has columns:31
[2026-01-29 23:27:27,216] 44 root - INFO - Required number of numeric columns:31
[2026-01-29 23:27:27,216] 45 root - INFO - Data frame has numeric columns:31
[2026-01-29 23:27:27,216] 44 root - INFO - Required number of numeric columns:31
[2026-01-29 23:27:27,216] 45 root - INFO - Data frame has numeric columns:31
[2026-01-29 23:27:27,372] 22 root - INFO - Data validation completed
[2026-01-29 23:27:27,372] 25 root - INFO - Initiate data transformation
[2026-01-29 23:27:27,372] 54 root - INFO - Entered the initiate_data_transformation method of DataTransformation class
[2026-01-29 23:27:27,372] 56 root - INFO - Started data transformation
[2026-01-29 23:27:27,388] 41 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[2026-01-29 23:27:27,388] 46 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-01-29 23:27:27,408] 46 root - INFO - Entered the save_object method of MainUtils class
[2026-01-29 23:27:27,414] 50 root - INFO - Exited the save_object method of MainUtils class
[2026-01-29 23:27:27,414] 46 root - INFO - Entered the save_object method of MainUtils class
[2026-01-29 23:27:27,418] 50 root - INFO - Exited the save_object method of MainUtils class
[2026-01-29 23:27:27,420] 27 root - INFO - Data transformation completed
