[2026-01-31 14:14:11,834] 148 numexpr.utils - INFO - Note: NumExpr detected 12 cores but "NUMEXPR_MAX_THREADS" not set, so enforcing safe limit of 8.
[2026-01-31 14:14:11,834] 160 numexpr.utils - INFO - NumExpr defaulting to 8 threads.
[2026-01-31 14:14:16,542] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[2026-01-31 14:14:16,551] 107 dagshub - INFO - Accessing as dzima22
[2026-01-31 14:14:17,428] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/repos/dzima22/network_security_project "HTTP/1.1 200 OK"
[2026-01-31 14:14:18,335] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[2026-01-31 14:14:18,339] 107 dagshub - INFO - Initialized MLflow to track repo "dzima22/network_security_project"
[2026-01-31 14:14:18,340] 107 dagshub - INFO - Repository dzima22/network_security_project initialized!
[2026-01-31 14:14:40,942] 41 root - INFO - Start data Ingestion
[2026-01-31 14:14:43,103] 65 root - INFO - Performed train test split on the dataframe
[2026-01-31 14:14:43,104] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2026-01-31 14:14:43,104] 75 root - INFO - Exporting train and test file path.
[2026-01-31 14:14:43,185] 84 root - INFO - Exported train and test file path.
[2026-01-31 14:14:43,185] 44 root - INFO - Data Ingestion completed and artifact: DataIngestionArtifact(trained_file_path='Artifacts\\01_31_2026_14_14_12\\data_ingestion\\ingested\\train.csv', test_file_path='Artifacts\\01_31_2026_14_14_12\\data_ingestion\\ingested\\test.csv')
[2026-01-31 14:14:43,193] 54 root - INFO - Initiate the data Validation
[2026-01-31 14:14:43,294] 34 root - INFO - Required number of columns:31
[2026-01-31 14:14:43,294] 35 root - INFO - Data frame has columns:31
[2026-01-31 14:14:43,294] 34 root - INFO - Required number of columns:31
[2026-01-31 14:14:43,294] 35 root - INFO - Data frame has columns:31
[2026-01-31 14:14:43,294] 44 root - INFO - Required number of numeric columns:31
[2026-01-31 14:14:43,296] 45 root - INFO - Data frame has numeric columns:31
[2026-01-31 14:14:43,297] 44 root - INFO - Required number of numeric columns:31
[2026-01-31 14:14:43,298] 45 root - INFO - Data frame has numeric columns:31
[2026-01-31 14:14:43,495] 54 root - INFO - Entered the initiate_data_transformation method of DataTransformation class
[2026-01-31 14:14:43,495] 56 root - INFO - Started data transformation
[2026-01-31 14:14:43,530] 41 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[2026-01-31 14:14:43,530] 46 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-01-31 14:14:43,549] 46 root - INFO - Entered the save_object method of MainUtils class
[2026-01-31 14:14:43,554] 50 root - INFO - Exited the save_object method of MainUtils class
[2026-01-31 14:14:43,554] 46 root - INFO - Entered the save_object method of MainUtils class
[2026-01-31 14:14:43,559] 50 root - INFO - Exited the save_object method of MainUtils class
[2026-01-31 14:19:14,340] 46 root - INFO - Entered the save_object method of MainUtils class
[2026-01-31 14:19:14,340] 50 root - INFO - Exited the save_object method of MainUtils class
[2026-01-31 14:19:14,343] 46 root - INFO - Entered the save_object method of MainUtils class
[2026-01-31 14:19:14,383] 50 root - INFO - Exited the save_object method of MainUtils class
[2026-01-31 14:19:14,383] 150 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\01_31_2026_14_14_12\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9918732222673711, precision_score=0.9894608836643697, recall_score=0.9942973523421589), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9733598409542743, precision_score=0.9652996845425867, recall_score=0.9815557337610264))
