[2026-01-29 14:17:22,891] 14 root - INFO - Initiate data ingestion
[2026-01-29 14:17:24,891] 65 root - INFO - Performed train test split on the dataframe
[2026-01-29 14:17:24,891] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2026-01-29 14:17:24,891] 75 root - INFO - Exporting train and test file path.
[2026-01-29 14:17:24,950] 84 root - INFO - Exported train and test file path.
[2026-01-29 14:17:24,950] 16 root - INFO - Data ingestion completed
[2026-01-29 14:17:24,961] 19 root - INFO - Initiate data validation
[2026-01-29 14:17:25,062] 34 root - INFO - Required number of columns:31
[2026-01-29 14:17:25,062] 35 root - INFO - Data frame has columns:31
[2026-01-29 14:17:25,062] 34 root - INFO - Required number of columns:31
[2026-01-29 14:17:25,062] 35 root - INFO - Data frame has columns:31
[2026-01-29 14:17:25,062] 44 root - INFO - Required number of numeric columns:31
[2026-01-29 14:17:25,066] 45 root - INFO - Data frame has numeric columns:31
[2026-01-29 14:17:25,070] 44 root - INFO - Required number of numeric columns:31
[2026-01-29 14:17:25,071] 45 root - INFO - Data frame has numeric columns:31
[2026-01-29 14:17:25,250] 21 root - INFO - Data validation completed
